Report generated on: 04-08-2024 05:36:21
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","refined petroleum products consumption (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-2-BLZ-TBPD.A","        Belize","","","","","","","","1.6","1.5","1.4","1.4","1.5","1.5","1.87195","1.52965","1.10717","1.63491","2.19694","2.51193","2.07583","2.07631","1.97631","2.27631","1.89988","3.21746","3.19402","3.294027397260274","3.5697315081967216","3.7242333095890383","3.5210040547945223","3.5737322630136963","3.330768989071043","3.6045147123287706","3.7848845808219234","3.48490096986301","3.182089532786882","3.512713353424656","3.826491588054797","3.2247207800547892","3.369498322841529","3.72949913424658","3.514323040602745","4.19759","4.153829","4.8929172286","4.1057232753","3.8932431754246575","3.278748778450615","4.803714614767759","5.0552677452054855"
"INTL.54-2-BEN-TBPD.A","        Benin","","","","","","","","3","3","2.000000001","3","3","3.5","3.40626","2.64807","3.32431","3.42438","4.009","4.7219","5.2","5.8","6.1","6.6","7.2","7.83178","8.5","3.8","10.974672131147539","12.50087671232876","14.453972602739722","16.80156164383562","17.595655737704927","16.472739726027395","22.822794520547966","26.99780821917806","27.493387978142117","30.285561643835614","34.703150684931515","32.200575342465775","30.396612021857948","31.130739726027457","32.78758904109583","36.210244","44.770273972603","46.28495890410989","51.81975342465789","46.330273972602","49.340931506849316","44.4169263547831","45.813334490131226"
"INTL.54-2-BMU-TBPD.A","        Bermuda","","","","","","","","3.8","3.3","3.499999999","3.700000001","3.600000001","3.499999999","3.29534","4.73112","5.14732","6.24772","4.45238","4","3.13568","3.59331","3.49331","3.57413","3.67393","3.67413","3.67413","3.6741369863013698","3.9079234972677566","3.9624109589041048","4.17945205479452","4.1527397260273995","4.2721311475409856","4.509106849315066","5.096361643835613","5.824997260273975","5.553366120218576","4.429350739726026","5.165153262465745","3.351729455342466","3.7333006612021795","3.63838010958904","4.743138749589049","3.939183328219177","5","4.940764964368493","5.214484718","5.214484717742466","4.769651","3.638209954103219","3.679833"
"INTL.54-2-BTN-TBPD.A","        Bhutan","","","","","","","","0.02","0.2","0.2","0.2","0.2","0.2","0.20958","0.24536","0.24468","0.24536","0.53578","0.53578","0.53568","0.53578","0.63578","0.83578","0.83568","0.85284","0.93623","0.9362465753424658","1.081010928961749","1.1720821917808222","1.2180712328767127","1.3438328767123289","1.4070166666666666","1.5135860273972601","1.5720287671232875","1.6349263013698623","1.5880166666666664","1.7739041095890387","2.2368739726027416","2.625773698630137","2.963227049180325","3.121096164383556","2.935865041095891","3.541063","3.6964975342460273","4.030497260274959","4.491423013288","4.437653424657","4.205456187820858","3.3251351961195494","3.4859416109589048"
"INTL.54-2-BOL-TBPD.A","        Bolivia","","","","","","","","25.000000001","27","25.000000001","25.000000001","24","21.999999998","21.1","21.2","23","24.4","25.1","25.5","26.3","27.27512","30.4","33","34.8","36.8","40.8","43.8","42.08907650273229","38.91616986301372","40.581968219178044","43.308620273972586","47.85966010928966","47.09427506849318","50.54314082191775","55.41041095890416","49.52778032786885","48.93641534246576","53.42050849315067","64.30844383561649","69.6677650273225","67.51207999999994","72.7185358904109","84.145044","91.21493","87.26624657534246","89.73054794520547","87.8324109589041","73.9654834590164","82.67382138199417","87.00315068817866"
"INTL.54-2-BIH-TBPD.A","        Bosnia and Herzegovina","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","35","22.8","19.6","19.2","18.4","18.5","20.8","21.3","23.09218579234973","22.793753424657535","22.10591780821918","20.904904109589037","24.318306010928936","23.10953424657532","25.43583561643835","27.12671232876715","30.932719125683082","34.45423780821913","34.70415123287671","35.42825534246574","31.938290710382503","29.915815890411","30.48979945205476","31.130356","36.21726","35.0463826849315","34.485205479452055","34.69219178082192","31.85923778594568","35.43334973783235","36.16282517508569"
"INTL.54-2-BWA-TBPD.A","        Botswana","","","","","","","","3","3","2","2","2","3.6","3.51928","4.20291","4.7421","5.8","6.3","7.3","8.4","8.2","8.2","8.2","8.2","9.33649","9.45821","9.458219178082192","12.405846994535526","13.635561643835619","14.013534246575341","14.968876712328761","14.176475409836065","14.686520547945204","15.845068493150675","17.126904109589038","19.007841530054634","17.64561643835616","18.524876712328766","19.149698630136992","19.530819672131148","20.51501369863012","21.287863013698637","23.455148","22.3612","20.2496164384","21.1975342467","21.682328767123998","20.703268853064785","20.44608704690274","21.088884383561645"
"INTL.54-2-BRA-TBPD.A","        Brazil","","","","","","","","1145.0838087723014","1089.0032876939179","1066.7671348482054","988.7355059866028","1035.483974795548","1082.1787083858494","1237.494301369863","1262.5710684931507","1306.5237534246576","1324.7436712328767","1674.0748767123287","1495.4532328767123","1529.2589041095891","1590.1496712328767","1685.7157534246576","1802.672301369863","1921.498493150685","2047.3687397260273","2108.864273972603","2162.237780821918","2200.3180573770487","2186.1077315068496","2172.0403041095888","2115.3048438356163","2191.307868852459","2240.895279452054","2275.6796821917806","2429.078317808219","2590.4230683060114","2597.4625316164393","2817.6665439178078","2893.719367739726","3000.8705790819677","3143.5209545753423","3279.2654243013662","3238.4095","3101","3145","3072.3913424657535","3092.76392877137","2903.427","2966.0754818542373","3027.4146764404386"
"INTL.54-2-VGB-TBPD.A","        British Virgin Islands","","","","","","","","0.2","0.3","0.3","0.3","0.2","0.2","0.12117","0.32117","0.32112","0.32117","0.32117","0.32117","0.32112","0.32117","0.32117","0.32117","0.42112","0.42117","0.42117","0.4211780821917808","0.7190958904109588","0.7374904109589038","0.7812986301369867","0.8360657534246576","0.8774699453551909","0.9043999999999996","0.9857369863013705","1.0219479452054796","1.0937786885245895","1.148679452054794","1.1789068493150694","1.2069424657534242","1.199568306010929","1.2028547945205483","1.2228630136986296","1.2269506849315066","1.24","1.1625260274","1.4454931507","1.1536383561643837","0.9715869689695544","1.2495698630136987","1.315005284931507"
"INTL.54-2-BRN-TBPD.A","        Brunei","","","","","","","","4.8","5.000000001","3.999999999","5.000000001","5.6","6.4","5.54551","6.1271","6.12765","6.83338","7.34975","10.53892","7.09135","9.26353","10.48471","10.88471","12.6","12.57884","12.28471","13.442356164383561","12.939792349726783","12.964252054794517","13.444435068493151","13.836033972602738","13.825199999999992","13.864603835616434","14.664031780821905","15.107911232876702","16.742280874316936","16.547775342465762","17.173956164383558","18.18951123287671","17.47287213114753","17.26280328767123","16.49357260273972","19.127068","17.598418","14.998223682220548","15.813624355293149","18.809095890412","17.825820796408188","16.326377585190087","17.020290193197496"
